canonical_project_id,project_id,observation_month,physical_progress_pct,cumulative_expenditure_cr,expenditure_ratio_pct,progress_change_1m,progress_change_3m,progress_velocity_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_escalation_pct,expenditure_progress_gap
400097,400097,2026-04-01,90.3,4956.98,,0.0,0.2999999999999971,0.099999999999999,0.0,0.0,0.0,,
400100,400100,2026-01-01,95.0,1643.05,160.57327704155426,,,,,,,189.8286361705141,65.57327704155426
400100,400100,2026-02-01,95.0,1643.05,160.57327704155426,0.0,,,0.0,,,189.8286361705141,65.57327704155426
400100,400100,2026-03-01,95.88,1643.05,160.57327704155426,0.8799999999999955,,,0.0,,,189.8286361705141,64.69327704155427
400100,400100,2026-04-01,95.88,1643.05,160.57327704155426,0.0,0.8799999999999955,0.2933333333333318,0.0,0.0,0.0,189.8286361705141,64.69327704155427
400100,400100,2026-05-01,95.88,1643.05,160.57327704155426,0.0,0.8799999999999955,0.2933333333333318,0.0,0.0,0.0,189.8286361705141,64.69327704155427
400100,400100,2026-06-01,95.88,1655.55,161.7948868300692,0.0,0.0,0.0,12.5,12.5,4.166666666666667,189.8286361705141,65.91488683006921
400100,400100,2026-07-01,95.88,1658.37,162.07048199835813,0.0,0.0,0.0,2.8199999999999363,15.319999999999936,5.106666666666645,189.8286361705141,66.19048199835814
400101,400101,2026-01-01,98.0,619.46,88.82547785313814,,,,,,,75.48375732870333,-9.17452214686186
400101,400101,2026-02-01,98.0,619.46,88.82547785313814,0.0,,,0.0,,,75.48375732870333,-9.17452214686186
400101,400101,2026-03-01,98.3,619.46,88.82547785313814,0.2999999999999971,,,0.0,,,75.48375732870333,-9.474522146861858
400101,400101,2026-04-01,98.3,619.46,88.82547785313814,0.0,0.2999999999999971,0.099999999999999,0.0,0.0,0.0,75.48375732870333,-9.474522146861858
400101,400101,2026-05-01,98.3,624.78,89.58832217267239,0.0,0.2999999999999971,0.099999999999999,5.319999999999936,5.319999999999936,1.773333333333312,75.48375732870333,-8.711677827327605
400101,400101,2026-06-01,98.3,624.78,89.58832217267239,0.0,0.0,0.0,0.0,5.319999999999936,1.773333333333312,75.48375732870333,-8.711677827327605
400101,400101,2026-07-01,98.3,624.78,89.58832217267239,0.0,0.0,0.0,0.0,5.319999999999936,1.773333333333312,75.48375732870333,-8.711677827327605
400102,400102,2026-01-01,96.0,940.7,99.03460473538485,,,,,,,29.03563229320908,3.034604735384846
400102,400102,2026-02-01,97.0,940.7,99.03460473538485,1.0,,,0.0,,,29.03563229320908,2.034604735384846
400102,400102,2026-03-01,97.0,971.47,102.27399538884268,0.0,,,30.769999999999985,,,29.03563229320908,5.273995388842678
400102,400102,2026-04-01,97.0,971.47,102.27399538884268,0.0,1.0,0.3333333333333333,0.0,30.769999999999985,10.25666666666666,29.03563229320908,5.273995388842678
