canonical_project_id,project_id,base_risk_score,anomaly_score,trajectory_risk_score,data_confidence_score,final_risk_score,risk_category,future_deterioration_probability,predicted_future_deterioration,risk_explanation,predictive_risk_band
618534,618534,35.71,-0.08297361826776489,30.0,57.9,31.05,LOW,0.0455,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618535,618535,0.0,-0.048068283990653604,10.0,90.0,1.58,LOW,0.0936,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618536,618536,0.0,-0.08230160109373863,10.0,90.0,1.58,LOW,0.2063,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618537,618537,0.0,-0.0951008387067484,10.0,90.0,1.58,LOW,0.2446,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618538,618538,0.0,-0.046453265299014446,10.0,85.7,1.58,LOW,0.0467,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618539,618539,1.01,-0.08884345871334881,10.0,85.7,2.32,LOW,0.3654,0,Limited Adverse Evidence,WATCH
618540,618540,0.0,-0.09825368367427634,10.0,90.0,1.58,LOW,0.2413,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618541,618541,21.63,-0.11745823992967697,30.0,90.0,20.67,LOW,0.3962,0,Limited Adverse Evidence,WATCH
618542,618542,56.72,-0.06051283441118632,30.0,57.9,46.53,MEDIUM,0.0572,0,High Expenditure Progress Gap,LOW_PREDICTIVE_SIGNAL
618543,618543,17.01,-0.05466601702068519,30.0,90.0,17.27,LOW,0.2055,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618544,618544,47.39,-0.0763512491798678,60.0,90.0,44.39,MEDIUM,0.1534,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618545,618545,54.92,-0.06745769487227232,60.0,90.0,49.94,MEDIUM,0.4052,0,High Expenditure Progress Gap; Progress Stagnation,WATCH
618546,618546,100.0,-0.11680978166070483,,28.6,87.5,REVIEW_DATA,0.4789,0,Data review is required before risk escalation.,WATCH
618547,618547,13.59,-0.06921728279379308,10.0,90.0,11.59,LOW,0.1831,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618548,618548,100.0,-0.13102993963979293,,28.6,87.5,REVIEW_DATA,0.1533,0,Data review is required before risk escalation.,LOW_PREDICTIVE_SIGNAL
618549,618549,84.5,0.014404564086349547,60.0,90.0,82.26,HIGH,0.0914,0,High Cost Escalation; Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618550,618550,50.1,-0.047498800241412564,60.0,90.0,46.39,MEDIUM,0.1123,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618551,618551,9.08,-0.09476037960339384,30.0,90.0,11.43,LOW,0.3087,0,Limited Adverse Evidence,WATCH
618552,618552,14.88,-0.07395543343103927,10.0,90.0,12.54,LOW,0.2201,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618553,618553,80.28,-0.13066814091526502,30.0,56.4,63.89,HIGH,0.0717,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618554,618554,19.51,-0.11586422617587128,30.0,90.0,19.11,LOW,0.0944,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618555,618555,54.44,-0.1317019989252256,30.0,32.9,44.85,REVIEW_DATA,0.0921,0,Data review is required before risk escalation.,LOW_PREDICTIVE_SIGNAL
618556,618556,20.15,-0.11363775401662968,30.0,85.7,19.58,LOW,0.2243,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618557,618557,20.01,-0.12010622465315768,30.0,90.0,19.48,LOW,0.2138,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618558,618558,89.35,-0.1169667667904199,60.0,60.7,75.31,HIGH,0.3653,0,Progress Stagnation,WATCH
618559,618559,100.0,-0.12643844303628382,60.0,60.7,83.16,CRITICAL,0.5668,1,Progress Stagnation,ELEVATED
618560,618560,100.0,-0.09940714745529322,60.0,60.7,83.16,CRITICAL,0.5542,1,Progress Stagnation,ELEVATED
618561,618561,0.0,-0.0779912662691799,10.0,85.7,1.58,LOW,0.2804,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618562,618562,100.0,-0.13135685269033343,60.0,52.1,83.16,CRITICAL,0.1316,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618563,618563,24.3,-0.09485087430502381,30.0,90.0,22.64,LOW,0.1071,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618564,618564,13.77,-0.0250883087620018,10.0,85.7,11.73,LOW,0.1104,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618565,618565,83.23,-0.13374164682081657,30.0,56.4,66.06,HIGH,0.4339,0,Limited Adverse Evidence,WATCH
618566,618566,8.16,-0.08143965700481065,30.0,90.0,10.75,LOW,0.0674,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618567,618567,0.0,-0.07617906976744698,10.0,90.0,1.58,LOW,0.1086,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618568,618568,5.0,-0.08407843650595365,30.0,85.7,8.42,LOW,0.1974,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618569,618569,100.0,-0.13063501591222298,60.0,60.7,83.16,CRITICAL,0.8077,1,Progress Stagnation,HIGH_PREDICTIVE_SIGNAL
618570,618570,84.62,-0.13042894980725694,30.0,56.4,67.09,HIGH,0.0833,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618571,618571,43.86,-0.1078515217578041,30.0,90.0,37.05,MEDIUM,0.3751,0,Limited Adverse Evidence,WATCH
618572,618572,17.4,-0.0774601682010117,30.0,90.0,17.56,LOW,0.2807,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618574,618574,0.0,-0.0825347878630539,10.0,85.7,1.58,LOW,0.4288,0,Limited Adverse Evidence,WATCH
618575,618575,100.0,-0.13049571252206366,,28.6,87.5,REVIEW_DATA,0.1026,0,Data review is required before risk escalation.,LOW_PREDICTIVE_SIGNAL
618576,618576,99.21,-0.1315768938361504,60.0,56.4,82.58,HIGH,0.2599,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618577,618577,100.0,-0.09079004223594672,60.0,56.4,83.16,CRITICAL,0.1527,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618578,618578,75.35,-0.12334990551095121,30.0,56.4,60.26,HIGH,0.292,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618579,618579,46.46,-0.030455382262769504,60.0,90.0,43.71,MEDIUM,0.0803,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618580,618580,69.48,-0.06238074134350413,60.0,90.0,60.67,HIGH,0.1568,0,High Cost Escalation; Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618581,618581,35.99,-0.10515118599037582,60.0,90.0,35.99,MEDIUM,0.373,0,Progress Stagnation,WATCH
618582,618582,100.0,-0.13135685269033343,60.0,52.1,83.16,CRITICAL,0.1316,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618583,618583,100.0,-0.13135685269033343,60.0,52.1,83.16,CRITICAL,0.1316,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618584,618584,0.01,-0.06420673985723196,10.0,90.0,1.59,LOW,0.2085,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618585,618585,0.0,-0.08401702669336442,10.0,85.7,1.58,LOW,0.3235,0,Limited Adverse Evidence,WATCH
618586,618586,28.67,-0.09226282856828583,30.0,85.7,25.86,LOW,0.15,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618588,618588,35.71,-0.09878341071980162,60.0,90.0,35.79,MEDIUM,0.0481,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618589,618589,0.0,-0.10831617965469037,10.0,90.0,1.58,LOW,0.0793,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618590,618590,0.0,-0.09808762458044296,10.0,90.0,1.58,LOW,0.0888,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618591,618591,6.13,-0.0814918550568493,30.0,85.7,9.25,LOW,0.2592,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618592,618592,0.0,-0.07375385279889374,10.0,90.0,1.58,LOW,0.2229,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618593,618593,27.61,-0.043259880441928134,30.0,85.7,25.08,LOW,0.2815,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618594,618594,23.25,-0.08038424602204891,30.0,90.0,21.87,LOW,0.3536,0,Limited Adverse Evidence,WATCH
618595,618595,59.82,-0.07981242317222453,60.0,90.0,53.55,HIGH,0.1457,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618596,618596,49.47,-0.05567255641982205,30.0,90.0,41.19,MEDIUM,0.1889,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618597,618597,49.85,-0.00959507211959898,60.0,90.0,46.21,MEDIUM,0.3236,0,Progress Stagnation,WATCH
618598,618598,37.8,-0.11370542301182657,60.0,90.0,37.33,MEDIUM,0.1134,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618599,618599,33.95,-0.006891984859043354,60.0,90.0,34.49,MEDIUM,0.0684,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
